Title:,0.2R+O,,,,,,,
Parameters:,,,,,,,,
,,,,,,,,
DAQ Settings:,,,,,,,,
Frequency Limit,2000,,,,,,,
Spectral Lines,1600,,,,,,,
Number of Blocks,8,,,,,,,
Total Data Rows,32768,,,,,,,
Channels:,,,,,,,,
Legend,Hor Accl,H Acc,Channel3,Channel4,Ver Accl,Speed,Torque,Channel8
,,,,,,,,
On/Off,OFF,OFF,OFF,OFF,ON,ON,ON,OFF
,,,,,,,,
Volts/Unit,0.1,0.1,1,1,0.1,1,0.0067,1
,,,,,,,,
Data,,,,,,,,
0.044603,0.727548,0.003079,,,,,,
-0.025213,0.726902,0.002406,,,,,,
-0.09149,0.727195,0.001646,,,,,,
-0.029211,0.726425,0.002953,,,,,,
-0.055426,0.726459,0.003089,,,,,,
-0.100296,0.727102,0.003467,,,,,,
-0.063603,0.726932,0.004329,,,,,,
0.058889,0.726925,0.003056,,,,,,
0.049668,0.727032,0.001691,,,,,,
0.0918,0.7269,0.005084,,,,,,
0.139475,0.727038,0.004605,,,,,,
0.143135,0.726617,0.004933,,,,,,
0.078857,0.726308,0.003305,,,,,,
0.083963,0.725501,0.002835,,,,,,
0.044248,0.725319,0.002099,,,,,,
-0.009929,0.726067,0.004584,,,,,,
-0.049357,0.726648,0.002568,,,,,,
-0.002929,0.726233,0.001977,,,,,,
0.016,0.726582,0.000313,,,,,,
0.025227,0.726392,0.002274,,,,,,
0.060069,0.72574,0.002125,,,,,,
0.048851,0.725866,0.000123,,,,,,
0.007271,0.725334,0.004293,,,,,,
-0.066622,0.725068,0.002087,,,,,,
-0.092902,0.72605,0.000654,,,,,,
-0.132763,0.725513,0.001505,,,,,,
-0.068262,0.725662,0.00345,,,,,,
-0.074431,0.726243,0.000676,,,,,,
-0.02886,0.726439,0.001956,,,,,,
-0.019617,0.725631,0.002826,,,,,,
0.012276,0.725649,-0.000134,,,,,,
0.00474,0.725179,0.00187,,,,,,
-0.019282,0.724883,0.002892,,,,,,
-0.046488,0.724802,0.002941,,,,,,
-0.074169,0.724629,0.003083,,,,,,
-0.062491,0.725001,0.001327,,,,,,
-0.018207,0.725592,-0.002187,,,,,,
0.007192,0.725106,-0.000184,,,,,,
0.028758,0.725523,0.002606,,,,,,
0.092905,0.72571,0.00298,,,,,,
0.107209,0.724919,0.00285,,,,,,
0.096634,0.724731,0.000425,,,,,,
0.040959,0.724496,0.000783,,,,,,
0.033373,0.724638,0.004556,,,,,,
0.039702,0.724616,-0.000123,,,,,,
0.006496,0.724289,-0.000838,,,,,,
-0.009425,0.724625,0.000528,,,,,,
0.034224,0.72503,0.001408,,,,,,
0.072356,0.724623,0.001135,,,,,,
0.074107,0.724744,0.000802,,,,,,
0.063228,0.724463,0.001262,,,,,,
0.081046,0.72418,-0.001038,,,,,,
0.030066,0.724028,0.003892,,,,,,
-0.06675,0.723918,0.001894,,,,,,
-0.141693,0.724084,0.002162,,,,,,
-0.126012,0.724017,-0.000111,,,,,,
-0.134913,0.724018,-0.000978,,,,,,
-0.092562,0.724248,-0.00101,,,,,,
-0.049171,0.724218,0.00375,,,,,,
0.01347,0.724746,-0.001126,,,,,,
0.039601,0.724081,0.000704,,,,,,
0.040923,0.723933,0.002145,,,,,,
0.075013,0.723006,0.003516,,,,,,
0.018784,0.723467,0.003857,,,,,,
-0.039581,0.723511,-0.00059,,,,,,
-0.091686,0.723247,0.003588,,,,,,
-0.046154,0.724149,0.000632,,,,,,
-0.076686,0.72429,-0.00054,,,,,,
-0.055315,0.724,0.003072,,,,,,
-0.035051,0.72419,0.003689,,,,,,
0.068107,0.723859,0.002291,,,,,,
0.090036,0.723169,0.001624,,,,,,
0.106663,0.723428,0.00286,,,,,,
